"SMILES","CASRN","MOLECULEID","EXTERNALID","N","NAME","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","logPow {measured}","UNIT {logPow}","logPow {measured, converted}","UNIT {logPow}","pH","UNIT {pH}"
"COC1=CC=CC=C1[C@@H]1CC(=O)NC2=C1C=C(C)C(C)=C2","-","M1018998","ZINC00036522","1","-","-","A27772","23131797","-","2","4.17","Log unit","4.17","Log unit","5.0","Log unit"
"COC1=CC=C2C(=O)C[C@](O)(OC2=C1)C(F)(F)F","-","M1019732","ZINC00185379","3","-","-","A27772","23131797","-","2","2.79","Log unit","2.79","Log unit","5.0","Log unit"
"CC(C)(C)C1(C)O[C@@H]([C@@H](O1)C(N)=O)C(N)=O","-","M3410220","ZINC12402487","4","-","-","A27772","23131797","-","2","1.6","Log unit","1.6","Log unit","= 6.5","Log unit"
"CCOC1=CC(=CC(OCC)=C1OCC)C1=NN=C(O1)C1=CC=CO1","-","M1019125","ZINC00055459","5","-","-","A27772","23131797","-","2","3.96","Log unit","3.96","Log unit","= 10.5","Log unit"
"CN(C)C1=CC=C(C=C1)C(=C)C1=CC=C(C=C1)N(C)C","-","M78769","ZINC00056871","6","-","-","A27772","23131797","-","2","5.3","Log unit","5.3","Log unit","= 7.3","Log unit"
"CC1=CC=C(O1)[C@@H](O)C#CC(O)(C1=CC=CC=C1)C1=CC=CC=C1","-","M1019130","ZINC00058341","7","-","-","A27772","23131797","-","2","3.53","Log unit","3.53","Log unit","= 10.5","Log unit"
"CC(C)(C)C1=CC(CC2=CC=CC=C2)=NN1","-","M1019149","ZINC00062144","8","-","-","A27772","23131797","-","2","4.35","Log unit","4.35","Log unit","= 10.5","Log unit"
"C[C@H]1C[C@@H](CC(C)(C)C1)NC(=S)NCC1=CSC2=CC=CC=C12","-","M1019208","ZINC00069488","11","-","-","A27772","23131797","-","2","6.21","Log unit","6.21","Log unit","5.0","Log unit"
"CCNC1=NC(NC(C)C)=NC(OC2=CC=C(OCC)N=N2)=N1","-","M1019222","ZINC00072787","12","-","-","A27772","23131797","-","2","3.14","Log unit","3.14","Log unit","= 10.5","Log unit"
"C1COCCOC2=CC=CC=C2OCCO1","-","M59191","ZINC00074829","13","-","-","A27772","23131797","-","2","1.81","Log unit","1.81","Log unit","5.0","Log unit"
"NC1=C(C#N)[C@H](C2=CC=CS2)C2=C(O1)C1=CC=CC=C1OC2=O","-","M1019247","ZINC00077710","15","-","-","A27772","23131797","-","2","2.34","Log unit","2.34","Log unit","= 10.5","Log unit"
"CCOC(=O)CC1=NN2C(SC1)=NN=C2C1=CC=CS1","-","M1154215","ZINC00081411","16","-","-","A27772","23131797","-","2","2.98","Log unit","2.98","Log unit","10.0","Log unit"
"FC(F)(F)C1=CC=C(NC(=O)[C@H]2CCC3=CC=CC=C3O2)C=C1","-","M1019270","ZINC00082336","17","-","-","A27772","23131797","-","2","4.5","Log unit","4.5","Log unit","5.0","Log unit"
"COCC1=CC(OC(=O)N(C)C)=NC(SCC(=O)C(C)(C)C)=N1","-","M1019313","ZINC00089307","18","-","-","A27772","23131797","-","2","3.33","Log unit","3.33","Log unit","5.0","Log unit"
"CC1=C(CCNC(=O)C2=CC=C(C(C)=C2)[N+]([O-])=O)C2=CC=CC=C2N1","-","M1154206","ZINC00094399","19","-","-","A27772","23131797","-","2","4.12","Log unit","4.12","Log unit","= 9.2","Log unit"
"FC1=C([C@@H]2CC(=O)NC3=C2C=C2OCCOC2=C3)C(Cl)=CC=C1","-","M1021508","ZINC01061315","20","-","-","A27772","23131797","-","2","3.96","Log unit","3.96","Log unit","5.0","Log unit"
"CSC1=C(C#N)C(=CS1)C1=CC=CS1","-","M1019361","ZINC00096234","21","-","-","A27772","23131797","-","2","3.69","Log unit","3.69","Log unit","5.0","Log unit"
"FC(F)(F)C1=CC=CC=C1NC(=O)NC1CCCCC1","-","M1019575","ZINC00139023","22","-","-","A27772","23131797","-","2","4.0","Log unit","4.0","Log unit","5.0","Log unit"
"CCN1C(NC[C@@H](O)C2=CC=CC=C2)=NC2=C1C(=O)N(C)C(=O)N2C","-","M1019405","ZINC00105203","23","-","-","A27772","23131797","-","2","3.24","Log unit","3.24","Log unit","= 6.5","Log unit"
"CC1=C(C)N=C2C(N)=NN=C(N)C2=N1","-","M1019416","ZINC00106685","24","-","-","A27772","23131797","-","2","1.14","Log unit","1.14","Log unit","= 10.5","Log unit"
